BREITE;LAENGE;UNDULATION;EPSG_2D;EPSG_1D
46.6250000;14.7916667;0.941;4312;5778
46.6250000;14.8333333;1.006;4312;5778
46.6250000;14.8750000;1.051;4312;5778
46.6250000;14.9166667;1.066;4312;5778
46.6250000;14.9583333;1.091;4312;5778
46.6250000;15.0000000;1.189;4312;5778
46.6250000;15.0416667;1.254;4312;5778
46.6250000;15.0833333;1.242;4312;5778
46.6250000;15.1250000;1.189;4312;5778
46.6250000;15.1666667;1.136;4312;5778
46.6250000;15.2083333;1.083;4312;5778
46.6250000;15.2500000;1.064;4312;5778
46.6250000;15.2916667;1.046;4312;5778
46.6250000;15.3333333;1.027;4312;5778
46.6250000;15.3750000;1.012;4312;5778
46.6250000;15.4166667;0.966;4312;5778
46.6250000;15.4583333;0.924;4312;5778
46.6250000;15.5000000;0.865;4312;5778
46.6250000;15.5416667;0.784;4312;5778
46.6250000;15.5833333;0.691;4312;5778
46.6250000;15.6250000;0.582;4312;5778
46.6250000;15.6666667;0.485;4312;5778
46.6250000;15.7083333;0.401;4312;5778
46.6250000;15.7500000;0.328;4312;5778
46.6250000;15.7916667;0.263;4312;5778
46.6250000;15.8333333;0.203;4312;5778
46.6250000;15.8750000;0.147;4312;5778
46.6250000;15.9166667;0.096;4312;5778
46.6250000;15.9583333;0.048;4312;5778
46.6250000;16.0000000;0.006;4312;5778
46.6250000;16.0416667;-0.040;4312;5778
46.6250000;16.0833333;-0.099;4312;5778
46.6250000;16.1250000;-0.159;4312;5778
46.6500000;12.3750000;3.190;4312;5778
46.6500000;12.4166667;3.132;4312;5778
46.6500000;12.4583333;3.077;4312;5778
46.6500000;12.5000000;3.036;4312;5778
46.6500000;12.5416667;2.990;4312;5778
46.6500000;12.5833333;2.923;4312;5778
46.6500000;12.6250000;2.845;4312;5778
46.6500000;12.6666667;2.775;4312;5778
46.6500000;12.7083333;2.694;4312;5778
46.6500000;12.7500000;2.584;4312;5778
46.6500000;12.7916667;2.455;4312;5778
46.6500000;12.8333333;2.325;4312;5778
46.6500000;12.8750000;2.191;4312;5778
46.6500000;12.9166667;2.061;4312;5778
46.6500000;12.9583333;1.911;4312;5778
46.6500000;13.0000000;1.784;4312;5778
46.6500000;13.0416667;1.681;4312;5778
46.6500000;13.0833333;1.597;4312;5778
46.6500000;13.1250000;1.535;4312;5778
46.6500000;13.1666667;1.498;4312;5778
46.6500000;13.2083333;1.466;4312;5778
